,Date,Open,High,Low,Close,Volume,Market_Cap
193,"Jul 24, 2019","9,887.73","9,908.80","9,614.31","9,811.93","17,398,734,322","17,398,734,322"
194,"Jul 23, 2019","10,346.75","10,346.75","9,883.60","9,900.77","17,851,916,995","17,851,916,995"
195,"Jul 22, 2019","10,596.95","10,651.79","10,154.92","10,343.11","16,334,414,913","16,334,414,913"
196,"Jul 21, 2019","10,777.53","10,841.89","10,389.60","10,599.11","17,130,580,467","17,130,580,467"
197,"Jul 20, 2019","10,525.82","11,048.66","10,451.28","10,767.14","20,206,615,155","20,206,615,155"
198,"Jul 19, 2019","10,653.96","10,716.98","10,229.63","10,530.73","20,727,426,310","20,727,426,310"
199,"Jul 18, 2019","9,698.50","10,736.84","9,376.80","10,666.48","25,187,024,648","25,187,024,648"
200,"Jul 17, 2019","9,471.21","9,963.13","9,163.13","9,693.80","24,569,921,549","24,569,921,549"
201,"Jul 16, 2019","10,896.65","10,996.63","9,448.11","9,477.64","24,151,199,070","24,151,199,070"
202,"Jul 15, 2019","10,257.84","11,052.77","9,992.01","10,895.09","25,384,047,207","25,384,047,207"
203,"Jul 14, 2019","11,381.02","11,451.20","10,234.58","10,256.06","22,486,000,001","22,486,000,001"
204,"Jul 13, 2019","11,813.13","11,841.96","10,908.48","11,392.38","21,042,616,384","21,042,616,384"
205,"Jul 12, 2019","11,354.30","11,905.49","11,179.14","11,815.99","23,534,692,797","23,534,692,797"
206,"Jul 11, 2019","12,139.71","12,144.62","11,158.92","11,358.66","28,595,327,690","28,595,327,690"
207,"Jul 10, 2019","12,571.54","13,129.53","11,710.98","12,156.51","33,627,574,244","33,627,574,244"
208,"Jul 09, 2019","12,284.33","12,779.13","12,233.26","12,573.81","28,167,921,523","28,167,921,523"
209,"Jul 08, 2019","11,446.60","12,345.83","11,393.37","12,285.96","23,482,551,458","23,482,551,458"
210,"Jul 07, 2019","11,217.62","11,541.62","11,148.80","11,450.85","19,369,044,277","19,369,044,277"
211,"Jul 06, 2019","10,982.54","11,620.97","10,982.54","11,208.55","21,092,024,306","21,092,024,306"
212,"Jul 05, 2019","11,203.10","11,395.66","10,874.96","10,978.46","23,838,480,210","23,838,480,210"
